kepid,kepoi_name,koi_period,koi_time0bk,koi_duration,label
7134976,K00874.01,4.601811819,169.98108,2.2607,1
7134976,K00874.02,11.18719905,137.17814,3.252,1
7135852,K00875.01,4.220965778,170.622433,3.0854,1
7270230,K00876.01,6.998099523,171.898913,2.0488,0
7287995,K00877.01,5.95489993,170.955871,2.3892,1
7287995,K00877.02,12.03987488,181.22536,2.7363,1
7287995,K00877.03,20.83762895,132.08488,2.3734,1
3247396,K00121.01,8.8111022,136.4568,5.0683,0
7303253,K00878.01,23.58917143,173.81994,5.073,1
5094751,K00123.01,6.481633073,122.977657,3.784,1
7678434,K00892.01,10.37168928,172.61729,3.035,1
7678434,K00892.02,3.96996298,137.75447,1.1757,1
7685981,K00893.01,4.40841331,172.18582,5.012,1
7708215,K00894.01,7.9426176,174.52563,6.703,0
7373451,K00881.02,226.8904775,207.35971,7.558,1
7377033,K00882.01,1.956811408,170.694208,2.1958,0
7434875,K00884.01,9.439459486,177.186096,2.8979,1
8349582,K00122.01,11.523067458,131.969055,3.8757,1
7434875,K00884.02,20.47748843,178.66786,2.8364,1
7434875,K00884.03,3.336123113,135.31623,1.9616,1
7455287,K00886.01,8.01078456,170.20739,2.312,1
7455287,K00886.02,12.07134205,143.45948,4.3224,1
7455287,K00886.03,20.99587872,152.31554,2.6333,1
7458762,K00887.01,7.41113177,175.34754,2.5242,1
7552344,K00888.01,1.000747038,169.974229,0.9967,0
757450,K00889.01,8.884922995,169.991686,2.07004,1
7585481,K00890.01,8.09888906,176.623731,4.20241,1
7663691,K00891.01,10.00653012,176.96898,5.344,1
5812701,K00012.01,17.855221681,146.596466,7.41287,1
8039892,K00903.01,5.007316661,173.433997,4.2362,1
8150320,K00904.01,2.211116989,170.150139,1.6485,1
8150320,K00904.02,27.9541337,178.73791,3.95,1
11086270,K00124.01,12.69104387,137.12594,3.7727,1
7767559,K00895.01,4.409409243,171.89433,3.8636,0
7825899,K00896.01,16.23947096,175.569907,4.0374,1
7825899,K00896.02,6.308201629,174.047661,2.9785,1
7849854,K00897.01,2.052349884,169.890622,2.0778,1
7870390,K00898.01,9.7704486,175.71372,2.4517,1
7870390,K00898.02,5.169804269,172.63153,2.153,1
5094751,K00123.02,21.22261195,137.57403,6.5093,1
7870390,K00898.03,20.09017037,147.97788,4.154,1
7907423,K00899.01,7.11373257,174.32351,2.1764,1
7907423,K00899.02,3.306551643,134.37211,1.8177,1
7907423,K00899.03,15.36845737,147.38965,2.4714,1
7938496,K00900.01,13.81020318,172.33533,3.048,1
8490993,K00911.01,4.093578461,171.00954,2.5833,1
8490993,K00911.02,105.145959,178.367,8.593,1
8505670,K00912.01,10.8484518,171.80584,2.9993,1
8505670,K00912.02,6.66833241,137.43988,1.915,1
8544996,K00913.01,4.082274889,169.6375652,3.23015,1
8150320,K00904.03,42.1406089,139.0604,5.083,1
8150320,K00904.04,4.617490562,135.04909,2.2618,1
8150320,K00904.05,10.19849255,137.92067,2.4283,1
8180063,K00905.01,5.795063956,172.697467,3.2496,0
8226994,K00906.01,7.15681552,174.13511,2.5882,1
8226994,K00906.02,17.64830851,133.54533,2.0873,1
8226994,K00906.03,4.14810719,133.3881,2.535,1
8247638,K00907.01,16.51410989,176.11686,4.1575,1
8247638,K00907.02,30.1329298,190.38336,5.172,1
8247638,K00907.03,4.79090809,136.31106,2.603,1
11086270,K00124.02,31.71981013,142.82083,4.819,1
8247638,K00907.04,99.6415962,198.68664,4.448,1
8255887,K00908.01,4.708326451,171.446507,3.16114,1
8256049,K00909.01,16.37198661,172.75926,3.8449,0
8414716,K00910.01,5.392026903,171.72707,2.9804,1
9141746,K00929.01,6.491682808,174.633553,4.301,1
9159275,K00930.01,3.044770796,172.01916,10.0134,0
9166862,K00931.01,3.855603916,170.6787843,3.2179,1
9166870,K00932.01,3.855599139,170.67957,3.183,0
11449844,K00125.01,38.47876629,151.852812,5.04169,1
8605074,K00915.01,37.601661282,194.713383,8.30604,0
8628973,K00916.01,3.314947362,171.313058,1.8007,1
8655354,K00917.01,6.71969089,173.35776,3.0231,0
8672910,K00918.01,39.6431552,206.596798,6.5292,1
8686150,K00919.01,51.42598578,173.535933,16.9422,0
8689031,K00920.01,21.80451611,190.49737,3.4097,1
8689373,K00921.01,10.28194593,175.33988,3.4366,1
8689373,K00921.02,18.11993039,182.61535,4.2309,1
8689373,K00921.03,3.78402867,133.28133,1.9012,1
8826878,K00922.01,5.15448142,171.6389,3.228,1
5897826,K00126.01,33.80364366,202.259731,11.4813,0
8883593,K00923.01,5.743469797,174.898924,3.4412,1
9016295,K00925.01,19.974485239,171.6300909,4.23479,0
9077124,K00926.01,3.166353562,170.966145,3.3129,1
9097120,K00927.01,23.899634407,188.982797,3.81881,0
9466668,K00939.01,3.388012244,170.5336,2.6849,1
9466668,K00939.02,5.83909761,132.09261,3.1915,1
9466668,K00939.03,1.620467654,132.06388,2.1888,1
9466668,K00939.04,10.6816951,131.55082,3.605,1
9479273,K00940.01,6.104849417,169.573477,4.6912,1
8359498,K00127.01,3.578780566,134.0304187,2.91089,1
9171801,K00933.01,3.187067566,171.64976,3.119,0
9334289,K00934.01,5.826657508,173.011411,2.9183,1
9334289,K00934.02,12.41216347,142.54039,3.739,1
9334289,K00934.03,18.74649011,147.13074,3.895,1
9347899,K00935.01,20.86021229,180.017757,5.1937,1
9347899,K00935.02,42.63427848,141.16954,6.1998,1
9347899,K00935.03,87.6476068,134.94222,8.871,1
9388479,K00936.01,9.467821474,178.415842,2.4327,1
9388479,K00936.02,0.893040969,134.540342,1.0981,1
11359879,K00128.01,4.942783419,136.3294353,3.25346,1
9406990,K00937.01,20.83426731,176.58569,4.0454,1
9415172,K00938.01,9.94602357,171.70192,3.3862,1
9415172,K00938.02,1.04562195,133.91912,1.8955,1
9415172,K00938.03,5.71462396,132.63866,2.336,1
9904059,K00145.01,102.9641952,158.07473,15.735,0
3231341,K01102.02,8.14515981,140.56811,5.073,1
3231341,K01102.03,18.9985279,144.74157,4.529,1
3231341,K01102.04,4.24439049,137.06643,3.282,1
7626506,K00150.02,28.5742692,143.8315,4.9427,1
10482160,K01170.01,7.34373964,137.29874,1.1784,1
10485069,K01171.01,0.445277068,133.52312,3.539,0
3233043,K00966.01,0.379463865,170.2480164,0.86896,0
6579806,K00967.01,9.88047978,173.608672,2.78458,0
3560301,K00968.01,4.6484156,261.09395,38.1939,0
4044005,K00969.01,17.512014768,174.282592,1.8248,0
5802246,K01044.01,0.525154153,133.744359,2.1441,0
6066403,K01045.01,1.303861044,134.212059,4.0541,0
6209637,K01046.01,0.73452496,133.43108,6.7,0
5988031,K01047.01,2.55549176,134.50078,9.083,0
7684873,K00014.01,2.947376671,171.522978,2.0911,0
8559644,K00139.01,224.7789355,142.095338,11.1899,1
2851100,K01104.01,0.890110752,133.2647,0.8774,0
3130300,K01105.01,5.76573396,133.30941,2.924,0
3240158,K01106.01,7.42608123,139.90039,3.6379,1
3240158,K01106.02,15.9868932,137.5964,4.158,1
3228959,K01107.01,0.73094589,133.68876,4.32,0
3218908,K01108.01,18.92537246,149.49558,3.9835,1
10341913,K01172.01,0.933749106,134.31831,4.256,0
10480921,K01173.01,2.037440623,133.59962,3.442,0
10350571,K01175.01,31.5925809,142.9649,13.566,1
10350571,K01175.02,17.157236,133.68951,11.284,1
3749365,K01176.01,1.97376085,178.6894194,1.82542,1
11013201,K00972.01,13.118962443,261.539434,4.3045,1
11673674,K00133.01,4.618767792,133.386535,5.9957,0
3632418,K00975.01,2.785821236,260.83731,3.5599,1
3441784,K00976.01,52.56901867,184.971267,6.7507,0
5820218,K01048.01,3.411758679,133.18086,3.158,0
5876368,K01049.01,0.525426427,133.187901,1.0801,0
5809890,K01050.01,1.269091415,133.343682,1.4647,1
5809890,K01050.02,2.853133997,133.79678,1.465,1
6131236,K01051.01,6.79685353,138.11324,3.1702,1
9048161,K00146.01,8.667822346,137.341841,4.9658,0
3218908,K01108.02,1.475323222,131.83272,2.3155,1
3218908,K01108.03,4.15246118,134.57991,2.5755,1
3235672,K01109.01,6.7210783,134.7775984,7.46,0
2837111,K01110.01,8.7348852,135.0818,4.49,1
3120276,K01111.01,10.26547688,136.49663,3.733,0
3547091,K01177.01,3.305577989,180.68154,2.5903,0
3869825,K01178.01,4.800653901,134.365782,9.0419,0
3655332,K01179.01,15.06649901,140.654788,5.9885,0
4042026,K01180.01,34.82008158,163.015559,11.1711,0
3344419,K01181.01,0.651784374,133.111707,2.0141,0
11192141,K00977.01,1.353771892,261.43662,7.012,0
11494130,K00978.01,18.95491633,262.46677,24.249,0
5648449,K00979.01,4.348866254,262.72768,3.2797,0
12167361,K00980.01,47.93094546,179.096467,2.6897,0
8607720,K00981.01,3.99751422,261.7243,3.686,0
1433962,K00982.01,1.592633181,133.9243804,5.5605,0
9032900,K00134.01,67.5923754,151.75056,12.249,1
5956342,K01052.01,17.02902786,143.33395,4.645,1
5956342,K01052.02,6.84619236,132.17265,3.529,1
5956342,K01052.03,67.8321638,125.881,7.358,1
5956342,K01052.04,43.1312147,166.26105,3.198,1
5956656,K01053.01,1.224866441,133.20824,1.7086,1
3109930,K01112.01,37.8102649,158.35799,8.733,1
2854914,K01113.01,25.93406406,149.76273,4.6142,1
2854914,K01113.02,83.4463485,158.68061,6.536,1
3337425,K01114.01,7.04710032,139.79737,2.926,0
3116412,K01115.01,12.99204853,136.32016,6.0175,1
3865567,K01182.01,11.11620211,133.100575,4.211,0
3544689,K01183.01,1.922861499,134.658644,3.5734,0
4037164,K01184.01,0.635445336,134.184037,1.8592,0
3443790,K01185.01,1.665784138,133.863028,1.8946,0
3966912,K01186.01,55.6639167,156.35017,23.546,0
8394721,K00152.01,52.09081627,158.744665,8.6388,1
11607193,K00983.01,7.1548608,266.04847,7.694,0
1161345,K00984.01,4.28746668,262.06245,1.5693,1
10227501,K00985.01,2.002779769,261.95791,2.231,0
2854698,K00986.01,8.18739443,260.86931,3.0472,1
2854698,K00986.02,76.0498163,161.71445,7.158,1
8559644,K00139.02,3.341799486,141.35472,2.9254,1
6032981,K01054.01,3.3226948,134.444,3.568,0
5866099,K01055.01,36.97708808,133.62681,4.737,0
5964985,K01056.01,1.851409163,133.17995,10.232,0
6066416,K01057.01,1.303859704,134.21201,2.8239,0
1996679,K00147.01,145.5624926,146.0588,5.4126,0
2849805,K01116.01,3.749105745,135.10837,1.9826,1
3114811,K01117.01,11.08956602,141.76142,6.2877,1
3003992,K01119.01,7.24476126,139.10497,2.3145,0
3554031,K01194.01,8.70798309,363.05638,2.4904,1
3554031,K01194.03,4.17634276,352.99674,2.335,1
8394721,K00152.02,27.40229859,133.6284,6.8491,1
7295235,K00987.01,3.179267286,261.841607,1.0246,1
2302548,K00988.01,10.38122447,268.02421,2.715,1
2302548,K00988.02,24.5709023,135.87209,3.587,1
10743597,K00989.01,81.221876,184.26164,4.1135,0
10743597,K00989.02,0.817026268,132.835239,2.0799,0
9818381,K00135.01,3.024092505,132.4168573,2.8021,1
6124941,K01058.01,5.670155713,136.201739,0.9361,0
6060203,K01059.01,1.022678654,133.45422,1.3712,1
5880320,K01060.01,12.10968709,140.21258,6.3461,1
5880320,K01060.02,4.75796103,137.69636,4.66,1
5880320,K01060.03,20.4972755,147.43894,8.536,1
3003992,K01119.02,13.55480534,139.81609,2.288,0
6307537,K01120.01,29.74454668,172.386652,23.2842,0
6359798,K01121.01,14.15402428,140.698466,4.47001,0
6311681,K01122.01,0.844786082,134.216987,3.5289,0
6365321,K01123.01,0.848483947,133.585301,1.4451,0
6301035,K01124.01,11.99097576,143.28437,5.7401,0
3859079,K01199.01,53.5292702,147.86464,5.668,1
3557493,K01200.01,0.393726813,133.310396,2.95,0
4061149,K01201.01,2.757584622,133.05017,0.9267,1
3444588,K01202.01,0.928310036,133.80358,1.1899,1
8394721,K00152.03,13.48457668,136.61808,5.0197,1
3962243,K01203.01,31.8841473,160.20696,6.122,1
10015516,K00990.01,67.69213907,138.534171,51.349,0
10154388,K00991.01,12.06222962,138.22229,2.0584,1
1432789,K00992.01,9.93146307,136.49128,5.678,1
1718189,K00993.01,21.85362905,144.32031,3.439,1
5880320,K01060.04,8.19345065,138.99617,5.234,1
5130369,K00140.01,19.97867,137.17061,10.168,0
6037187,K01061.01,41.8059544,142.81919,6.057,1
6147122,K01062.01,15.45158184,142.21096,2.406,0
8257407,K01063.01,89.698168533,176.3060152,5.5418,0
8218274,K01064.01,1.187352427,133.465454,4.999,0
3964562,K00015.01,3.012476582,135.259271,3.1424,0
5735762,K00148.01,4.77800306,124.061465,2.7361,1
6292162,K01125.01,7.814839231,357.519981,3.0122,0
6307521,K01126.01,29.7452499,157.38519,22.695,0
6359320,K01127.01,5.32667299,357.12617,3.4045,1
3848972,K01187.01,0.741057213,131.947273,1.05299,0
3860441,K01188.01,2.988085455,133.27252,3.68,0
3765771,K01189.01,2.783883492,133.227846,2.4546,0
3557341,K01190.01,0.393727296,178.587454,3.02,0
3859628,K01191.01,8.17242644,361.20157,3.902,1
1718189,K00993.02,13.0607936,137.63148,3.215,1
3858949,K00995.01,25.9518461,154.88212,14.581,0
3858824,K00996.01,25.9518536,154.88278,14.755,0
2157247,K00997.01,5.68628739,135.89269,17.573,0
7601633,K00136.01,15.663886949,147.395712,2.4775,0
8242681,K01065.01,4.020628573,133.638478,4.4085,0
8246781,K01067.01,185.02288222,273.185533,4.87326,0
8264070,K01068.01,2.897432135,450.75739,3.1793,0
8222813,K01069.01,8.70420525,357.55941,2.9385,1
6359320,K01127.02,8.1280933,358.68367,3.727,1
6362874,K01128.01,0.974868896,133.076265,1.6191,1
6272413,K01129.01,4.89721006,133.39852,1.812,1
8279765,K01130.01,2.757794163,135.232863,2.7644,0
8330548,K01132.01,1.914158508,134.644919,3.2917,0
3348082,K01196.01,3.98216698,135.52749,2.396,0
3853673,K01197.01,0.643794198,133.984483,1.5662,0
3447722,K01198.01,16.08832318,139.49184,5.731,1
3447722,K01198.02,10.30067919,142.74251,4.885,1
3447722,K01198.03,35.6757453,145.00717,7.381,1
1432214,K00998.01,161.78832712,214.039,5.31,0
2165002,K00999.01,16.56806842,146.15285,4.2647,1
2165002,K00999.02,47.3329299,151.41614,2.708,1
2441728,K01000.01,0.856895349,133.67521,1.3078,0
1871056,K01001.01,40.8065333,155.71586,13.135,1
8222813,K01069.02,2.46697039,354.93093,1.6345,1
8240904,K01070.01,6.61836309,360.36694,3.6813,1
8240904,K01070.02,107.7214092,354.19522,8.042,1
8374494,K01133.01,5.251916208,357.321883,4.9095,0
5735762,K00148.02,9.673958488,125.339418,3.2641,1
8414907,K01134.01,100.3039228,277.0607,8.702,0
8414907,K01134.02,200.61103346,456.84444,7.13,0
8397446,K01135.01,0.986620248,448.5959,3.9722,0
8386035,K01136.01,1.63484631,134.512115,6.11,0
3962243,K01203.02,14.12847677,142.8971,3.685,1
3962243,K01203.03,48.6478543,172.1271,5.464,1
3438507,K01204.01,8.39842977,136.31152,6.344,1
3869014,K01205.01,8.63847391,139.94684,5.4566,1
1871056,K01001.02,140.10765,216.21749,18.503,1
1865042,K01002.01,3.4815917,132.98828,1.8069,1
2438502,K01003.01,8.360616221,172.264978,7.5385,0
2309585,K01004.01,1.838514968,352.72266,2.7391,0
5780460,K01005.01,35.61760233,197.03573,8.4559,1
8244190,K01071.01,1.09206833,133.19403,1.8596,0
8229696,K01072.01,10.12805158,139.1159,3.517,1
8262210,K01073.01,1.613001111,178.52846,2.394,0
10272640,K01074.01,3.770551475,357.11836,3.8077,1
10232123,K01075.01,1.343767797,133.275862,1.9405,0
10223616,K01076.01,29.12436474,142.16154,3.4209,0
8415745,K01138.01,31.82814583,366.704854,2.917,0
8378634,K01139.01,3.629442796,134.70066,5.63,0
8397675,K01140.01,0.553261874,133.446605,0.8875,0
8346392,K01141.01,5.72812616,135.18066,2.0295,1
8288947,K01142.01,3.75574267,133.4333,2.2911,1
8312852,K01143.01,7.44042933,134.76331,2.991,0
9480189,K00941.01,6.581477136,174.787814,3.0896,1
11974540,K00129.01,24.669192732,132.864236,7.03515,1
9480189,K00941.02,2.382652873,170.66626,1.8888,1
9480189,K00941.03,24.66461416,189.02031,2.8579,1
9512687,K00942.01,11.51517167,174.85855,2.006,1
8644288,K00137.01,7.641567589,135.407564,3.41018,1
5738346,K01006.01,30.6113932,374.6216,3.576,0
1725016,K01007.01,7.40742502,355.49652,3.675,1
1722276,K01008.01,569.934135,248.94045,4.1904,0
892772,K01009.01,5.09246539,357.53594,3.659,0
1027438,K01010.01,110.61576622,145.83537,5.0,0
10268907,K01077.01,1.103971357,354.58216,0.926,0
5446285,K00142.01,10.916108342,133.009227,3.6496,1
10166274,K01078.01,3.353732008,134.869597,1.4598,1
10166274,K01078.02,6.877446033,132.08426,1.3692,1
10166274,K01078.03,28.46464804,158.03986,2.6657,1
10153827,K01079.01,0.293630085,133.584241,2.3857,0
5735762,K00148.03,42.89645024,146.0613,5.6897,1
8302450,K01144.01,2.44199803,134.57095,2.759,0
8351704,K01146.01,7.09712124,136.34514,2.1059,1
8299955,K01147.01,2.6827683,134.25535,2.957,0
9513865,K00943.01,3.601465336,171.99184,2.2753,1
9595686,K00944.01,3.108251172,170.244566,2.5048,0
9605514,K00945.01,25.8474958,188.874,5.985,1
9605514,K00945.02,40.715561,146.36485,6.894,1
9661877,K00946.01,20.42720701,176.71737,3.447,0
5728283,K01011.01,6.198273591,183.3731434,7.53837,0
8127639,K01012.01,1.023471798,354.8182,2.3499,0
